//Generated by Sequoia v.0.1

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#ScriptDirectory,#ScriptName,#Parameters
C14,CleanSystem,ExecuteScript,TRUE,,10,,./,Purge.sh,

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#ScriptDirectory,#ScriptName,#Parameters
293,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,TS_REC_CAPTURE
4R7,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,TS_ENT_COMP
QSL,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,TS_ISS_PAY_REMIND_SECU
G7P,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,TS_ISS_PAY_RECEIPT_SECU
NA7,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,TS_INV_PAY_DIST_SECU

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#Instr
Static,InitStatic,SetStatic,TRUE,,0,,INSTR_015

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#SecurityAccountID,#InstrumentID,#BalanceType,#BalanceSubType,#Balance,#ValuationPrice,#Category,#Currency,#Reference
CRT_SEC_1,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,1
CRT_SEC_2,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,2
CRT_SEC_3,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,3
CRT_SEC_4,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,4
CRT_SEC_5,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,5
CRT_SEC_6,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,6
CRT_SEC_7,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,7
CRT_SEC_8,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,8
CRT_SEC_9,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,9
CRT_SEC_10,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,10
CRT_SEC_11,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,11
CRT_SEC_12,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,12
CRT_SEC_13,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,13
CRT_SEC_14,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,14
CRT_SEC_15,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,15
CRT_SEC_16,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,16
CRT_SEC_17,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,17
CRT_SEC_18,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,18
CRT_SEC_19,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,19
CRT_SEC_20,CreateSecurityBalances,AddSecurityPosition,TRUE,,100,,@{securityAccountId('555000017401')},@{instrumentId(Static.Instr)},0,,4000,,,,20
