//Generated by Sequoia v.0.1

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#ScriptDirectory,#ScriptName,#Parameters
C14,CleanSystem,ExecuteScript,TRUE,,10,,./,Purge.sh,

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#ScriptDirectory,#ScriptName,#Parameters
293,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,SGSProcessing
4R7,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,SGXNetting
QSL,ResetTimeSchedules,ExecuteScript,TRUE,,10,,./,turn_off.sh,SGXProcessing

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#Instr,#Prefix,#ISIN,#SettlCycle
Static,InitStatic,SetStatic,TRUE,,0,,INSTR_0@{gen('ggg')},@{gen('ggg')},1000000,-3

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#Transaction ID,#Request Source,#Deposit Withdraw Type,#Transaction Category,#Transaction Sub Category,#Request Type,#Participant ID,#Requested Participant ID,#Securities_Account_ID,#Instrument_ID,#Transaction Quantity,#Remark,#Balance Expected Reversal Date,#Transferee Name,#Transferee_NRIC_Passport,#Transferee Address,#Transferee Contact Number,#Counterparty Account Name,#Counterparty Account Number,#Counterparty BIC Code,#Beneficial Owner,#Beneficial Owner Acc Number,#Beneficial Owner BIC,#Place Of Settlement,#Trade Date,#Settlement Date,#Declaration,#Matching Reference,#Deposit Withdraw Status,#Deposit Withdraw Sub Status,#Next Status,#Entering User ID,#Last Updated User,#CA Type,#Moratorium Deposit,#Batch ID
SDeposit,SubmitSecurityDeposit,SubmitSecurityDepositDB,TRUE,,10,,"100@{trimright(Static.Instr.substring(3),3)}",3,1,27,1234,2,,,555000021115,@{instrumentId(Static.Instr)},100000,TEST REMARK,"@{format(time(0),'dd-MM-yyyy')}",Name1,S1234567D,234,234,1324,124123,41234,1234,1234,23412,234,"@{format(time(0),'dd-MM-yyyy')}","@{format(time(0),'dd-MM-yyyy')}",341234,23412,8,0,0,WEBADMIN,WEBADMIN,0,0,3456

#id,#GlobalStep,#Action,#Execute,#TestCase,#Timeout,#Comment,#RequestSource,#DepositWithdrawType,#TransactionCategory,#TransactionSubCategory,#RequestType,#ParticipantID,#RequestedParticipantID,#Securities_Account_ID,#Instrument_ID,#TransactionQuantity,#Remark,#NameOnShareCertificate,#CertificateNumber,#CertificateQuantity,#BalanceExpectedReversalDate,#TransfereeName,#Transferee_NRIC_Passport,#TransfereeAddress,#TransfereeContactNumber,#CounterpartyAccountName,#CounterpartyAccountNumber,#CounterpartyBICCode,#BeneficialOwner,#BeneficialOwnerAccNumber,#BeneficialOwnerBIC,#PlaceOfSettlement,#TradeDate,#SettlementDate,#Declaration,#MatchingReference,#DepositWithdrawStatus,#NextStatus,#EnteringUserID,#LastUpdatedUser,#CAType,#ExternalRequestID,#Latest,#InternalReference
VDeposit,VerifySecurityDeposit,VerifySecurityDeposit,TRUE,,2000,,3,1,27,1234,2,,,@{SDeposit.Securities_Account_ID},@{instrumentId(Static.Instr)},@{SDeposit.Transaction_Quantity},TEST REMARK,,,,"@{format(time(0),'dd-MM-yyyy')}",Name1,@{SDeposit.Transferee_NRIC_Passport},234,234,1324,124123,41234,1234,1234,23412,234,"@{format(time(0),'dd-MM-yyyy')}","@{format(time(0),'dd-MM-yyyy')}",341234,23412,5,,,,0,@{SDeposit.External_Request_ID},,

#id,#GlobalStep,#Action,#Execute,#TestCase,#timeout,#Comment,#Depo Transfer Type,#Source_Security_Account_ID,#Participant ID,#Source Sec Balance Type,#Source Reference,#Destination_Security_Acc_ID,#Receiving Participant,#Desti Sec Balance Type,#Dest Reference,#Instrument_ID,#Transaction Quantity,#Transfer Reference,#Remark,#Entering User ID,#Depo Trans Status,#Pledge Request Source,#Pledge Request Initiator Type,#Request Initiator Side,#Batch ID,#Intended Transfer Date
S_ST_1,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_2,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_3,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_4,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_5,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_6,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_7,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_8,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_9,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_10,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_11,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_12,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_13,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_14,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_15,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_16,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_17,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_18,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_19,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_20,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_21,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_22,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_23,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_24,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
S_ST_25,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,100,,SGS Allocation Transfer,@{SDeposit.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}"
